cell_id,genotype_id,is_driver,is_resistant,mother_genotype_id,mutation_id,x,y,z
4,495,1.0,0.0,278.0,277.0,-13,-2,-1
25,495,1.0,0.0,278.0,277.0,-24,0,13
37,495,1.0,0.0,278.0,277.0,-7,7,1
70,495,1.0,0.0,278.0,277.0,-10,0,28
76,495,1.0,0.0,278.0,277.0,-13,-6,25
83,495,1.0,0.0,278.0,277.0,-12,-1,9
89,495,1.0,0.0,278.0,277.0,-28,15,19
95,495,1.0,0.0,278.0,277.0,-4,21,23
126,495,1.0,0.0,278.0,277.0,-26,3,3
129,495,1.0,0.0,278.0,277.0,-15,12,0
158,495,1.0,0.0,278.0,277.0,-31,0,17
160,495,1.0,0.0,278.0,277.0,-21,8,2
171,495,1.0,0.0,278.0,277.0,-15,-5,8
175,495,1.0,0.0,278.0,277.0,-4,21,13
182,495,1.0,0.0,278.0,277.0,-22,2,11
195,495,1.0,0.0,278.0,277.0,-1,-1,15
202,495,1.0,0.0,278.0,277.0,-11,7,1
239,495,1.0,0.0,278.0,277.0,-14,-8,24
264,495,1.0,0.0,278.0,277.0,-25,15,-1
265,495,1.0,0.0,278.0,277.0,-26,-3,-4
266,495,1.0,0.0,278.0,277.0,-22,-3,-1
275,495,1.0,0.0,278.0,277.0,-20,1,21
331,495,1.0,0.0,278.0,277.0,-9,7,1
338,495,1.0,0.0,278.0,277.0,-18,-3,-4
364,495,1.0,0.0,278.0,277.0,0,8,4
375,495,1.0,0.0,278.0,277.0,-21,-10,5
441,495,1.0,0.0,278.0,277.0,-8,16,21
449,495,1.0,0.0,278.0,277.0,-23,21,6
452,495,1.0,0.0,278.0,277.0,-22,11,11
506,495,1.0,0.0,278.0,277.0,-18,2,18
515,495,1.0,0.0,278.0,277.0,-17,-10,9
562,495,1.0,0.0,278.0,277.0,-19,0,28
563,495,1.0,0.0,278.0,277.0,-6,5,-6
565,495,1.0,0.0,278.0,277.0,-25,5,7
598,495,1.0,0.0,278.0,277.0,-24,-3,-4
600,495,1.0,0.0,278.0,277.0,-30,5,15
619,495,1.0,0.0,278.0,277.0,-22,-1,5
667,495,1.0,0.0,278.0,277.0,-6,1,29
675,495,1.0,0.0,278.0,277.0,-19,10,16
694,495,1.0,0.0,278.0,277.0,-20,-5,27
696,495,1.0,0.0,278.0,277.0,-4,0,27
768,495,1.0,0.0,278.0,277.0,-22,1,6
777,495,1.0,0.0,278.0,277.0,-24,1,20
798,495,1.0,0.0,278.0,277.0,-20,-15,11
824,495,1.0,0.0,278.0,277.0,-14,18,0
835,495,1.0,0.0,278.0,277.0,-23,-2,15
849,495,1.0,0.0,278.0,277.0,-13,5,24
854,495,1.0,0.0,278.0,277.0,-28,3,8
887,495,1.0,0.0,278.0,277.0,-22,-8,4
985,495,1.0,0.0,278.0,277.0,-1,16,21
992,495,1.0,0.0,278.0,277.0,-8,7,25
1009,495,1.0,0.0,278.0,277.0,-19,17,2
1012,495,1.0,0.0,278.0,277.0,-24,15,9
1039,495,1.0,0.0,278.0,277.0,-16,23,9
1076,495,1.0,0.0,278.0,277.0,-20,14,14
1090,495,1.0,0.0,278.0,277.0,-8,-5,9
1147,495,1.0,0.0,278.0,277.0,-21,6,13
1166,495,1.0,0.0,278.0,277.0,-6,-4,10
1173,495,1.0,0.0,278.0,277.0,-14,10,26
1175,495,1.0,0.0,278.0,277.0,-19,5,15
1185,495,1.0,0.0,278.0,277.0,-13,6,30
1202,495,1.0,0.0,278.0,277.0,-1,10,22
1213,495,1.0,0.0,278.0,277.0,-20,12,16
1234,495,1.0,0.0,278.0,277.0,-12,8,7
1343,495,1.0,0.0,278.0,277.0,-6,6,0
1350,495,1.0,0.0,278.0,277.0,-1,21,28
1362,495,1.0,0.0,278.0,277.0,-18,17,0
1429,495,1.0,0.0,278.0,277.0,-6,14,9
1435,495,1.0,0.0,278.0,277.0,-4,7,13
1437,495,1.0,0.0,278.0,277.0,-23,13,17
1440,495,1.0,0.0,278.0,277.0,-20,-9,2
1443,495,1.0,0.0,278.0,277.0,-29,7,10
1462,495,1.0,0.0,278.0,277.0,-8,16,11
1476,495,1.0,0.0,278.0,277.0,-25,-6,-7
1496,495,1.0,0.0,278.0,277.0,-31,6,11
1520,495,1.0,0.0,278.0,277.0,-8,6,0
1546,495,1.0,0.0,278.0,277.0,-12,-14,7
1614,495,1.0,0.0,278.0,277.0,-8,0,28
1630,495,1.0,0.0,278.0,277.0,-17,-1,25
1644,495,1.0,0.0,278.0,277.0,-4,5,28
1650,495,1.0,0.0,278.0,277.0,-31,3,0
1654,495,1.0,0.0,278.0,277.0,-15,-4,12
1660,495,1.0,0.0,278.0,277.0,-19,19,-5
1662,495,1.0,0.0,278.0,277.0,-1,-11,6
1674,495,1.0,0.0,278.0,277.0,-6,0,3
1696,495,1.0,0.0,278.0,277.0,-17,12,6
1804,495,1.0,0.0,278.0,277.0,-28,19,-1
1821,495,1.0,0.0,278.0,277.0,-26,20,-7
1826,495,1.0,0.0,278.0,277.0,-11,-2,11
1828,495,1.0,0.0,278.0,277.0,-16,18,-2
1831,495,1.0,0.0,278.0,277.0,-15,-2,5
1842,495,1.0,0.0,278.0,277.0,-19,6,25
1862,495,1.0,0.0,278.0,277.0,-4,20,28
1868,495,1.0,0.0,278.0,277.0,-13,15,13
1879,495,1.0,0.0,278.0,277.0,-9,20,20
1917,495,1.0,0.0,278.0,277.0,-19,-9,15
1924,495,1.0,0.0,278.0,277.0,-14,16,15
1947,495,1.0,0.0,278.0,277.0,-22,8,5
1956,495,1.0,0.0,278.0,277.0,-25,-1,13
1979,495,1.0,0.0,278.0,277.0,6,14,17
1998,495,1.0,0.0,278.0,277.0,-10,14,17
2021,495,1.0,0.0,278.0,277.0,-8,-2,25
2031,495,1.0,0.0,278.0,277.0,-16,3,25
2032,495,1.0,0.0,278.0,277.0,-15,-2,30
2083,495,1.0,0.0,278.0,277.0,-11,5,25
2085,495,1.0,0.0,278.0,277.0,-15,11,25
2100,495,1.0,0.0,278.0,277.0,-24,6,4
2109,495,1.0,0.0,278.0,277.0,0,-6,3
2191,495,1.0,0.0,278.0,277.0,-11,20,12
2195,495,1.0,0.0,278.0,277.0,-20,17,-2
2198,495,1.0,0.0,278.0,277.0,-8,14,13
2219,495,1.0,0.0,278.0,277.0,-23,8,-2
2225,495,1.0,0.0,278.0,277.0,-10,17,14
2248,495,1.0,0.0,278.0,277.0,-5,-6,11
2255,495,1.0,0.0,278.0,277.0,-25,0,3
2270,495,1.0,0.0,278.0,277.0,6,16,19
2296,495,1.0,0.0,278.0,277.0,-9,5,11
2307,495,1.0,0.0,278.0,277.0,-18,1,22
2338,495,1.0,0.0,278.0,277.0,-16,13,12
2391,495,1.0,0.0,278.0,277.0,-23,-3,0
2450,495,1.0,0.0,278.0,277.0,-16,8,23
2478,495,1.0,0.0,278.0,277.0,-16,10,7
2502,495,1.0,0.0,278.0,277.0,-19,-8,14
2504,495,1.0,0.0,278.0,277.0,-5,10,10
2536,495,1.0,0.0,278.0,277.0,-18,-2,15
2572,495,1.0,0.0,278.0,277.0,-24,8,27
2604,495,1.0,0.0,278.0,277.0,-29,2,10
2675,495,1.0,0.0,278.0,277.0,-20,8,27
2685,495,1.0,0.0,278.0,277.0,-5,-1,31
2698,495,1.0,0.0,278.0,277.0,-17,6,0
2729,495,1.0,0.0,278.0,277.0,-30,10,12
2752,495,1.0,0.0,278.0,277.0,-9,10,9
2778,495,1.0,0.0,278.0,277.0,-12,20,10
2786,495,1.0,0.0,278.0,277.0,-28,11,28
2804,495,1.0,0.0,278.0,277.0,-12,8,21
2811,495,1.0,0.0,278.0,277.0,-22,14,-5
2833,495,1.0,0.0,278.0,277.0,-24,-2,19
2836,495,1.0,0.0,278.0,277.0,-13,11,24
2849,495,1.0,0.0,278.0,277.0,-12,1,0
2855,495,1.0,0.0,278.0,277.0,-17,12,-3
2876,495,1.0,0.0,278.0,277.0,-20,2,6
2890,495,1.0,0.0,278.0,277.0,-3,0,17
2919,495,1.0,0.0,278.0,277.0,-14,18,3
2932,495,1.0,0.0,278.0,277.0,-8,14,22
2959,495,1.0,0.0,278.0,277.0,-26,6,11
3014,495,1.0,0.0,278.0,277.0,-21,-8,25
3028,495,1.0,0.0,278.0,277.0,-15,7,0
3030,495,1.0,0.0,278.0,277.0,-11,10,13
3032,495,1.0,0.0,278.0,277.0,-12,3,25
3090,495,1.0,0.0,278.0,277.0,-9,5,26
3142,495,1.0,0.0,278.0,277.0,-12,20,1
3206,495,1.0,0.0,278.0,277.0,-32,1,17
3237,495,1.0,0.0,278.0,277.0,-17,3,29
3272,495,1.0,0.0,278.0,277.0,-19,13,3
3274,495,1.0,0.0,278.0,277.0,9,19,15
3284,495,1.0,0.0,278.0,277.0,-9,7,20
3300,495,1.0,0.0,278.0,277.0,-12,7,23
3340,495,1.0,0.0,278.0,277.0,-8,10,2
3350,495,1.0,0.0,278.0,277.0,-20,-9,10
3352,495,1.0,0.0,278.0,277.0,-17,3,3
3371,495,1.0,0.0,278.0,277.0,-14,0,18
3434,495,1.0,0.0,278.0,277.0,-8,-2,5
3448,495,1.0,0.0,278.0,277.0,2,18,18
3467,495,1.0,0.0,278.0,277.0,-7,-1,31
3468,495,1.0,0.0,278.0,277.0,-18,-8,7
3531,495,1.0,0.0,278.0,277.0,-19,2,4
3534,495,1.0,0.0,278.0,277.0,-26,12,32
3538,495,1.0,0.0,278.0,277.0,-9,5,27
3542,495,1.0,0.0,278.0,277.0,-4,10,9
3550,495,1.0,0.0,278.0,277.0,-20,-5,15
3555,495,1.0,0.0,278.0,277.0,-14,-3,7
3557,495,1.0,0.0,278.0,277.0,-17,3,18
3569,495,1.0,0.0,278.0,277.0,-3,6,24
3591,495,1.0,0.0,278.0,277.0,-7,15,-1
3598,495,1.0,0.0,278.0,277.0,-5,-2,31
3606,495,1.0,0.0,278.0,277.0,-9,-11,15
3698,495,1.0,0.0,278.0,277.0,-19,16,3
3718,495,1.0,0.0,278.0,277.0,-8,9,13
3747,495,1.0,0.0,278.0,277.0,-18,7,8
3750,495,1.0,0.0,278.0,277.0,-21,-14,11
3755,495,1.0,0.0,278.0,277.0,-29,5,5
3783,495,1.0,0.0,278.0,277.0,-22,-3,25
3796,495,1.0,0.0,278.0,277.0,-9,16,21
3820,495,1.0,0.0,278.0,277.0,-26,-6,4
3822,495,1.0,0.0,278.0,277.0,-5,-3,23
3839,495,1.0,0.0,278.0,277.0,-27,6,3
3863,495,1.0,0.0,278.0,277.0,-8,0,25
3883,495,1.0,0.0,278.0,277.0,-6,18,7
3897,495,1.0,0.0,278.0,277.0,-3,10,19
3905,495,1.0,0.0,278.0,277.0,-23,-8,7
3925,495,1.0,0.0,278.0,277.0,-21,8,21
3961,495,1.0,0.0,278.0,277.0,-13,14,12
3977,495,1.0,0.0,278.0,277.0,-20,-2,31
3982,495,1.0,0.0,278.0,277.0,-19,4,6
3998,495,1.0,0.0,278.0,277.0,-9,18,9
4035,495,1.0,0.0,278.0,277.0,-5,-9,11
4113,495,1.0,0.0,278.0,277.0,-2,16,39
4116,495,1.0,0.0,278.0,277.0,-13,10,25
4138,495,1.0,0.0,278.0,277.0,-10,14,27
4156,495,1.0,0.0,278.0,277.0,-11,12,9
4161,495,1.0,0.0,278.0,277.0,-8,11,25
4162,495,1.0,0.0,278.0,277.0,-1,8,25
4170,495,1.0,0.0,278.0,277.0,-21,6,9
4173,495,1.0,0.0,278.0,277.0,-22,-6,17
4212,495,1.0,0.0,278.0,277.0,-14,21,24
4234,495,1.0,0.0,278.0,277.0,-4,1,29
4252,495,1.0,0.0,278.0,277.0,2,15,20
4272,495,1.0,0.0,278.0,277.0,-20,-8,8
4296,495,1.0,0.0,278.0,277.0,-8,6,20
4327,495,1.0,0.0,278.0,277.0,-6,4,12
4408,495,1.0,0.0,278.0,277.0,-19,6,-1
4425,495,1.0,0.0,278.0,277.0,-17,12,27
4447,495,1.0,0.0,278.0,277.0,-11,7,32
4455,495,1.0,0.0,278.0,277.0,-11,2,1
4475,495,1.0,0.0,278.0,277.0,-20,-6,1
4492,495,1.0,0.0,278.0,277.0,-31,12,24
4545,495,1.0,0.0,278.0,277.0,-30,6,19
4546,495,1.0,0.0,278.0,277.0,-19,-9,20
4550,495,1.0,0.0,278.0,277.0,-13,-4,11
4574,495,1.0,0.0,278.0,277.0,-5,12,16
4577,495,1.0,0.0,278.0,277.0,-22,-2,9
4587,495,1.0,0.0,278.0,277.0,-17,19,7
4636,495,1.0,0.0,278.0,277.0,-2,14,16
4654,495,1.0,0.0,278.0,277.0,-12,20,7
4672,495,1.0,0.0,278.0,277.0,2,11,21
4677,495,1.0,0.0,278.0,277.0,-12,0,5
4710,495,1.0,0.0,278.0,277.0,-19,12,-2
4711,495,1.0,0.0,278.0,277.0,-15,-11,12
4732,495,1.0,0.0,278.0,277.0,-20,5,30
4740,495,1.0,0.0,278.0,277.0,-28,15,20
4743,495,1.0,0.0,278.0,277.0,-20,0,25
4774,495,1.0,0.0,278.0,277.0,-16,6,-1
4775,495,1.0,0.0,278.0,277.0,-8,9,5
4791,495,1.0,0.0,278.0,277.0,-12,14,17
4829,495,1.0,0.0,278.0,277.0,-5,-8,9
4844,495,1.0,0.0,278.0,277.0,-20,0,19
4849,495,1.0,0.0,278.0,277.0,-18,7,18
4860,495,1.0,0.0,278.0,277.0,-23,9,21
4883,495,1.0,0.0,278.0,277.0,-14,15,12
4917,495,1.0,0.0,278.0,277.0,-19,-3,18
4931,495,1.0,0.0,278.0,277.0,-9,8,-4
4951,495,1.0,0.0,278.0,277.0,-12,16,16
4956,495,1.0,0.0,278.0,277.0,-26,7,19
5000,495,1.0,0.0,278.0,277.0,-20,-10,6
5012,495,1.0,0.0,278.0,277.0,-9,7,-1
5022,495,1.0,0.0,278.0,277.0,-11,7,25
5040,495,1.0,0.0,278.0,277.0,-32,13,23
5045,495,1.0,0.0,278.0,277.0,-7,-2,25
5052,495,1.0,0.0,278.0,277.0,-11,15,3
5054,495,1.0,0.0,278.0,277.0,-2,11,12
5061,495,1.0,0.0,278.0,277.0,-17,-6,14
5073,495,1.0,0.0,278.0,277.0,-23,0,21
5132,495,1.0,0.0,278.0,277.0,-11,2,0
5139,495,1.0,0.0,278.0,277.0,-23,-10,2
5151,495,1.0,0.0,278.0,277.0,-10,1,5
5164,495,1.0,0.0,278.0,277.0,-11,13,6
5175,495,1.0,0.0,278.0,277.0,-15,14,17
5232,495,1.0,0.0,278.0,277.0,-13,2,0
